EVID,Year,Month,Day,Hour,Min,Sec,Latitude,Longitude,Depth,Mag,Strike,Dip,Rake,Reference,Method,Comments,Dupes,RMS angle if pref,GCMT_Ref,GCMT_year,GCMT_month,GCMT_day,GCMT_hour,GCMT_min,GCMT_sec,GCMT_lat,GCMT_lon,GCMT_dep,GCMT_Mw,GCMT_str,GCMT_dip,GCMT_rak,GCMT_diff_OT,GCMT_diff_epi_km,GCMT_diff_depth,GCMT_diff_mag,GCMT_Kagan
1977-08-18-09-27-40,1977,8,18,9,27,40.7,35.2700,23.5200,38,5.5,114,79,96,Taymaz et al. (1990),"P, SH shapes + FMPs inv.",Hellenic Trench / Crete,P,42.2,GCMT (MLI),1977,8,18,9,27,40.0,35.23,23.4,42,5.3,85,15,-142,0.7,11.8,-4,0.2,36.1
1977-09-11-23-19-20,1977,9,11,23,19,19.0,34.9500,23.0500,19,5.8,276,47,89,Taymaz et al. (1990),"P, SH shapes + FMPs inv.",Hellenic Trench / Crete,P,34.7,GCMT (MLI),1977,9,11,23,19,23.7,35.05,23.03,33,6,74,28,100,-4.7,11.2,-14,-0.2,34.6
1977-11-03-02-22-54,1977,11,3,2,22,54.9,42.1100,23.9700,6,5.1,104,35,-94,GCMT (MLI),moment tensor inversion,"extracted from ndk file, mag is probably MS",S,,CMT,1977,11,3,2,22,54.9,42.11,23.97,6,5.2,104,35,-94,0.0,0.0,0,-0.1,0.0
1977-11-28-02-59-10,1977,11,28,2,59,10.0,36.0000,27.8000,66,5.6,88,51,32,Benetatos et al. (2004),teleseismic waveform modeling (MT5),Hellenic Arc,P,21.7,GCMT (MLI),1977,11,28,2,59,10.8,36.05,27.76,85,5.6,103,46,24,-0.8,6.6,-19,0.0,21.7
1978-03-07-22-33-46,1978,3,7,22,33,46.0,34.3300,25.1100,42,5.4,42,18,-162,Benetatos et al. (2004),teleseismic waveform modeling (MT5),Hellenic Arc,P,37.0,GCMT (MLI),1978,3,7,22,33,46.7,34.5,25.26,42,5.1,225,14,40,-0.7,23.4,0,0.3,37.0
1978-05-23-23-34-11,1978,5,23,23,34,12.0,40.7000,23.3000,8,5.8,265,40,-82,"Baker et al.	 1997 / from Kiratzi & Louvari (2003)",moment tensor inversion,Aegean sea and surrounding areas,P,15.0,GCMT (MLI),1978,5,23,23,34,11.4,40.76,23.27,10,5.6,74,36,-96,0.6,7.1,-2,0.2,14.5
1978-06-19-10-31-02,1978,6,19,10,31,0.0,40.7100,23.2600,12,5.3,283,56,-60,"Soufleris and Stewart, 1981 / from Kiratzi & Louvari (2003)",first motion polarities,Aegean sea and surrounding areas,P,13.0,CMT,1978,6,19,10,31,5.4,40.75,23.22,10,5.3,281,44,-66,-5.4,5.6,2,0.0,13.0
1978-06-20-20-03-22,1978,6,20,20,3,21.0,40.8000,23.2000,6,6.5,278,46,-70,Soufleris & Stewart (1981) / from Papazachos et al. (1998),,"Greece, shallow events (1953 - 1995)",P,24.0,GCMT (PDE),1978,6,20,20,3,22.0,40.78,23.24,3,6.1,286,43,-88,-1.0,4.0,3,0.4,24.5
1978-09-01-22-46-16,1978,9,1,22,46,15.9,39.0700,21.4700,24,4.8,6,60,171,"Muço, 1994",,-,S,,,,,,,,,,,,,,,,,,,,
1979-04-09-02-10-20,1979,4,9,2,10,21.0,41.9000,19.0300,9,5.4,306,28,30,"Louvari et al.	 2001 / from Kiratzi & Louvari (2003)",moment tensor inversion,Aegean sea and surrounding areas,P,40.8,CMT,1979,4,9,2,10,20.3,41.96,19.02,10,5.3,278,30,44,0.7,6.7,-1,0.1,40.8
