SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
4.0,301.0,31.0,50.0,300.0,43.0,21.0,0.0,16.1,903.0,1.2,6.9,6.9,3.25e+19,23.7481,39.1962,23.3198,39.3954,23.7481,39.1962,23.3198,39.3954,23.4005,39.4994,23.8291,39.3003,
5.0,54.0,144.0,77.0,205.0,49.5,12.5,0.0,12.2,618.7,1.17,6.8,6.8,2.17e+19,23.9659,39.8832,24.4361,40.1448,23.9659,39.8832,24.4361,40.1448,24.4555,40.1244,23.9853,39.8627,
6.0,102.0,192.0,50.0,270.0,49.0,23.0,0.0,17.6,1127.0,1.35,7.0,7.0,4.56503e+19,23.3688,39.9464,23.9306,39.8548,23.3688,39.9464,23.9306,39.8548,23.8944,39.7247,23.333,39.8164,
7.0,272.0,2.0,50.0,270.0,40.0,20.0,0.0,15.3,800.0,1.13,6.9,6.9,2.7e+19,23.8443,39.4506,23.3786,39.4632,23.8443,39.4506,23.3786,39.4632,23.3837,39.5787,23.8497,39.5662,
8.0,286.0,16.0,60.0,250.0,22.0,14.0,0.0,12.1,308.0,0.68,6.5,6.5,6.27e+18,25.7066,40.4722,25.4565,40.5267,25.7066,40.4722,25.4565,40.5267,25.4792,40.5872,25.7295,40.5327,
9.0,258.0,348.0,55.0,250.0,31.0,16.5,0.0,13.5,511.5,0.89,6.7,6.7,1.36e+19,26.5357,41.6114,26.1711,41.5535,26.5357,41.6114,26.1711,41.5535,26.1473,41.6367,26.5121,41.6947,
10.0,107.0,197.0,55.0,280.0,28.0,15.5,0.0,12.7,434.0,0.81,6.6,6.6,1.05e+19,25.4516,41.1675,25.7713,41.0939,25.4516,41.1675,25.7713,41.0939,25.7402,41.0174,25.4206,41.0911,
11.0,70.0,160.0,50.0,245.0,31.0,16.5,0.0,12.6,511.5,0.89,6.7,6.7,1.37e+19,25.214,41.1217,25.562,41.2171,25.214,41.1217,25.562,41.2171,25.6052,41.1274,25.2574,41.0321,
12.0,95.0,185.0,50.0,265.0,27.0,15.0,0.0,11.5,405.0,0.78,6.6,6.6,9.48e+18,24.8928,41.1427,25.214,41.1215,24.8928,41.1427,25.214,41.1215,25.2038,41.0351,24.8829,41.0563,
13.0,54.0,144.0,50.0,225.0,42.0,20.5,0.0,15.7,861.0,1.17,6.9,6.9,3.02e+19,24.4836,40.9195,24.8887,41.1415,24.4836,40.9195,24.8887,41.1415,24.9809,41.0456,24.5759,40.8236,
