SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
116.0,318.0,48.0,30.0,80.0,66.5,24.5,2.0,14.3,1629.2,1.73,7.2,7.2,8.44e+19,19.4952,40.1065,18.9701,40.551,19.5256,40.1274,19.0005,40.5718,19.1868,40.6995,19.7117,40.2551,
117.0,339.0,69.0,35.0,80.0,63.0,23.5,3.0,16.5,1480.5,1.67,7.2,7.2,7.41e+19,20.0455,40.2946,19.778,40.8235,20.0928,40.3084,19.8255,40.8373,20.0387,40.8994,20.3053,40.3704,
118.0,323.0,53.0,35.0,80.0,50.0,20.0,0.0,11.5,1000.0,1.46,7.0,7.0,4.38e+19,20.4223,39.9027,20.0686,40.2619,20.4223,39.9027,20.0686,40.2619,20.2226,40.3505,20.5761,39.9914,
119.0,317.0,47.0,40.0,80.0,46.5,19.0,3.0,15.2,883.5,1.39,7.0,7.0,3.693e+19,20.3825,39.7671,20.0105,40.0729,20.4132,39.789,20.0412,40.0948,20.1662,40.1841,20.5381,39.8782,
121.0,336.0,66.0,37.0,90.0,20.0,10.5,0.0,6.3,210.0,0.84,6.4,6.4,5.31e+18,20.5606,39.7419,20.4654,39.9063,20.5606,39.7419,20.4654,39.9063,20.5552,39.9369,20.6503,39.7726,
122.0,354.0,84.0,35.0,90.0,23.0,11.5,2.0,8.6,264.5,0.91,6.5,6.5,7.22e+18,20.4938,39.5054,20.4657,39.7111,20.527,39.508,20.4989,39.7138,20.6084,39.7226,20.6363,39.5169,
123.0,157.0,247.0,60.0,90.0,21.5,11.0,0.0,9.5,236.5,0.88,6.5,6.5,6.23e+18,20.6122,39.7214,20.7103,39.5435,20.6122,39.7214,20.7103,39.5435,20.6512,39.5241,20.553,39.7021,
124.0,130.0,220.0,60.0,90.0,30.0,14.0,0.0,12.1,420.0,1.07,6.7,6.7,1.35e+19,20.648,39.8677,20.9169,39.6943,20.648,39.8677,20.9169,39.6943,20.8643,39.6461,20.5954,39.8195,
126.0,333.0,63.0,35.0,80.0,30.0,14.0,5.0,13.0,420.0,1.07,6.7,6.7,1.35e+19,20.5267,39.2177,20.3682,39.458,20.6006,39.2468,20.4422,39.4872,20.5612,39.534,20.7195,39.2936,
127.0,335.0,65.0,35.0,80.0,27.0,13.0,2.0,9.5,351.0,1.01,6.6,6.6,1.06e+19,20.6548,39.2668,20.522,39.4869,20.6849,39.2777,20.5521,39.4977,20.6645,39.5382,20.7972,39.3181,
128.0,326.0,56.0,30.0,90.0,68.5,25.0,7.0,19.5,1712.5,1.76,7.2,7.2,9.02e+19,19.7449,39.3313,19.2972,39.842,19.8621,39.3922,19.4147,39.903,19.6247,40.0118,20.0717,39.5011,
129.0,320.0,50.0,30.0,80.0,68.5,25.0,7.0,19.5,1712.5,1.76,7.2,7.2,9.02e+19,20.3974,38.8288,19.8868,39.3007,20.505,38.8988,19.9945,39.3708,20.187,39.4959,20.6973,39.024,
132.0,333.0,63.0,50.0,83.0,46.5,19.0,0.0,14.6,883.5,1.39,7.0,7.0,3.69e+19,20.7858,38.072,20.5441,38.4446,20.7858,38.072,20.5441,38.4446,20.6688,38.4945,20.9104,38.1219,
133.0,304.0,34.0,35.0,55.0,33.0,15.0,1.0,9.6,495.0,1.14,6.8,6.8,1.69e+19,20.7778,38.0486,20.465,38.2146,20.787,38.0593,20.4741,38.2252,20.5527,38.3168,20.8656,38.1509,
138.0,349.0,79.0,25.0,90.0,24.0,12.0,3.0,8.1,288.0,0.94,6.5,6.5,8.12e+18,20.9003,37.4159,20.8483,37.6278,20.9719,37.427,20.92,37.6388,21.0411,37.6575,21.0929,37.4456,
160.0,243.0,333.0,78.0,30.0,54.0,13.0,0.0,12.7,702.0,1.25,6.9,6.9,2.63e+19,27.8028,35.7031,27.2707,35.4827,27.8028,35.7031,27.2707,35.4827,27.2571,35.5043,27.7892,35.7248,
190.0,354.0,84.0,20.0,159.0,37.0,11.0,25.0,28.8,407.0,0.77,6.6,6.6,9.4e+18,19.693,37.411,19.6473,37.7419,20.4676,37.4755,20.4237,37.8065,20.5406,37.8162,20.5842,37.4853,
250.0,77.0,167.0,85.0,30.0,26.0,9.5,0.0,9.5,247.0,0.98,6.4,6.5,7.26e+18,19.6753,39.6836,19.9715,39.7362,19.6753,39.6836,19.9715,39.7362,19.9737,39.7289,19.6775,39.6763,
