SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
1.0,245.0,335.0,85.0,200.0,100.0,18.0,0.0,17.9,1800.0,1.76,7.3,7.3,9.5e+19,27.4115,40.7884,26.338,40.4084,27.4115,40.7884,26.338,40.4084,26.3301,40.4212,27.4037,40.8012,
2.0,72.0,162.0,85.0,193.0,122.0,18.5,0.0,18.4,2257.0,1.99,7.4,7.4,1.57e+20,24.9773,40.1742,26.3464,40.5133,24.9773,40.1742,26.3464,40.5133,26.3522,40.4995,24.9832,40.1604,
3.0,223.0,313.0,79.0,180.0,144.0,20.0,0.0,19.6,2880.0,2.64,7.5,7.5,2.28e+20,24.9032,40.1483,23.7557,39.2011,24.9032,40.1483,23.7557,39.2011,23.7231,39.2245,24.8705,40.1717,
41.0,244.0,334.0,75.0,195.0,26.0,9.5,0.0,9.2,247.0,0.72,6.4,6.4,5.32e+18,23.0876,38.9525,22.8176,38.85,23.0876,38.9525,22.8176,38.85,22.8051,38.8699,23.0752,38.9724,
48.0,226.0,316.0,75.0,200.0,37.0,11.0,0.0,10.6,407.0,0.94,6.6,6.6,1.14e+19,23.8152,39.1111,23.5072,38.88,23.8152,39.1111,23.5072,38.88,23.4843,38.8984,23.7923,39.1295,
50.0,132.0,222.0,80.0,10.0,37.9,11.0,8.0,18.8,417.3,0.94,6.7,6.7,1.18e+19,24.1568,39.203,24.4835,38.9747,24.1459,39.1936,24.4725,38.9652,24.4577,38.9525,24.1311,39.1808,
51.0,220.0,310.0,80.0,180.0,54.0,13.0,0.0,12.8,702.0,1.25,6.9,6.9,2.63e+19,25.1937,39.6598,24.7893,39.2878,25.1937,39.6598,24.7893,39.2878,24.7691,39.3008,25.1735,39.6729,
52.0,237.0,327.0,87.0,193.0,60.0,13.5,0.0,13.5,810.0,1.35,6.9,6.9,3.28e+19,25.9926,39.6085,25.4064,39.3146,25.9926,39.6085,25.4064,39.3146,25.4019,39.3199,25.9881,39.6138,
53.0,227.0,317.0,77.0,193.0,65.0,14.0,0.0,13.6,910.0,1.43,7.0,7.0,3.9e+19,25.4133,39.3729,24.8619,38.9743,25.4133,39.3729,24.8619,38.9743,24.8369,38.995,25.3884,39.3936,
54.0,227.0,317.0,77.0,193.0,30.0,10.0,0.0,9.7,300.0,0.8,6.5,6.5,7.16e+18,25.0721,39.0406,24.8184,38.8566,25.0721,39.0406,24.8184,38.8566,24.8006,38.8714,25.0543,39.0554,
57.0,233.0,323.0,75.0,195.0,40.0,11.5,0.0,11.1,460.0,1.0,6.7,6.7,1.38e+19,24.8555,38.762,24.4876,38.5456,24.8555,38.762,24.4876,38.5456,24.467,38.5669,24.8349,38.7834,
58.0,214.0,304.0,87.0,190.0,45.0,12.0,0.0,12.0,540.0,1.09,6.8,6.8,1.76e+19,26.3703,39.3702,26.0783,39.0346,26.3703,39.3702,26.0783,39.0346,26.0722,39.0378,26.3642,39.3733,
60.0,238.0,328.0,85.0,193.0,45.0,12.0,0.0,12.0,540.0,1.09,6.8,6.8,1.76e+19,25.823,38.8308,25.3831,38.6163,25.823,38.8308,25.3831,38.6163,25.3767,38.6243,25.8166,38.8388,
66.0,225.0,315.0,75.0,200.0,37.0,11.0,0.0,10.6,407.0,0.85,6.6,6.6,1.14e+19,26.6622,37.8125,26.3649,37.5772,26.6622,37.8125,26.3649,37.5772,26.342,37.5953,26.6394,37.8306,
68.0,229.0,319.0,75.0,200.0,54.0,13.0,0.0,12.6,702.0,1.14,6.9,6.9,2.63e+19,26.1524,37.6994,25.6901,37.3807,26.1524,37.6994,25.6901,37.3807,25.6651,37.4036,26.1273,37.7222,
70.0,229.0,319.0,80.0,190.0,45.0,12.0,0.0,11.8,540.0,0.99,6.8,6.8,1.76e+19,24.7294,37.7178,24.344,37.4523,24.7294,37.7178,24.344,37.4523,24.3284,37.4664,24.7139,37.7319,
71.0,17.0,107.0,80.0,180.0,59.0,13.5,0.0,13.3,796.5,1.21,6.9,6.9,3.18e+19,24.4593,37.5617,24.6557,38.0692,24.4593,37.5617,24.6557,38.0692,24.6813,38.063,24.4848,37.5556,
72.0,36.0,126.0,75.0,180.0,64.0,14.0,0.0,13.5,896.0,1.29,7.0,7.0,3.82e+19,24.6439,38.0857,25.0751,38.5514,24.6439,38.0857,25.0751,38.5514,25.1088,38.5322,24.6775,38.0666,
73.0,219.0,309.0,75.0,200.0,37.0,11.0,0.0,10.6,407.0,0.85,6.6,6.6,1.14e+19,24.1143,37.4254,23.851,37.1669,24.1143,37.4254,23.851,37.1669,23.826,37.183,24.0893,37.4416,
74.0,53.0,143.0,75.0,200.0,41.0,11.5,0.0,11.1,471.5,0.92,6.7,6.7,1.43e+19,24.3281,36.9818,24.6973,37.2038,24.3281,36.9818,24.6973,37.2038,24.7175,37.1824,24.3484,36.9605,
75.0,229.0,319.0,75.0,200.0,45.0,12.0,0.0,11.6,540.0,0.99,6.8,6.8,1.76e+19,25.2351,37.1868,24.8524,36.9213,25.2351,37.1868,24.8524,36.9213,24.8294,36.9424,25.2121,37.2079,
114.0,340.0,70.0,85.0,350.0,30.0,10.0,0.0,10.0,300.0,0.8,6.5,6.5,7.16e+18,21.3207,38.4249,21.2028,38.6785,21.3207,38.4249,21.2028,38.6785,21.2122,38.6811,21.3302,38.4276,
115.0,334.0,64.0,85.0,340.0,33.0,10.5,0.0,10.5,346.5,0.86,6.6,6.6,8.93e+18,21.197,38.6793,21.03,38.946,21.197,38.6793,21.03,38.946,21.0395,38.9496,21.2065,38.6829,
130.0,16.0,106.0,72.0,178.0,54.0,13.0,0.0,12.4,702.0,1.25,6.9,6.9,2.63e+19,20.4309,38.4739,20.6025,38.9407,20.4309,38.4739,20.6025,38.9407,20.647,38.9308,20.4754,38.4639,
131.0,26.0,116.0,75.0,186.0,87.0,16.0,0.0,15.5,1392.0,1.79,7.2,7.2,7.49e+19,19.9762,37.76,20.4121,38.4633,19.9762,37.76,20.4121,38.4633,20.4548,38.4469,20.0187,37.7437,
134.0,300.0,30.0,85.0,9.0,33.0,10.5,15.0,25.5,346.5,0.86,6.6,6.6,8.93e+18,21.1496,37.8211,20.8238,37.9695,21.157,37.8314,20.8313,37.9797,20.8365,37.9869,21.1623,37.8385,
135.0,210.0,300.0,85.0,175.0,54.0,13.0,7.0,20.0,702.0,1.25,6.9,6.9,2.63e+19,21.6318,38.1184,21.324,37.6979,21.6257,38.1212,21.3179,37.7006,21.3068,37.7057,21.6145,38.1263,
139.0,44.0,134.0,80.0,190.0,37.0,11.0,0.0,10.8,407.0,0.94,6.6,6.6,1.14e+19,21.0016,37.3844,21.293,37.6238,21.0016,37.3844,21.293,37.6238,21.3086,37.6118,21.0172,37.3725,
147.0,214.0,304.0,75.0,170.0,64.0,14.0,4.0,17.5,896.0,1.33,7.0,7.0,3.82e+19,22.6192,36.1384,22.2218,35.6612,22.6093,36.1438,22.212,35.6666,22.1786,35.6848,22.5759,36.162,
154.0,250.0,340.0,80.0,0.0,59.0,13.5,0.0,13.3,796.5,1.34,6.9,6.9,3.19e+19,24.6058,34.7342,23.9997,34.5527,24.6058,34.7342,23.9997,34.5527,23.9909,34.5725,24.5971,34.754,
155.0,256.0,346.0,75.0,0.0,107.0,17.5,0.0,16.9,1872.5,2.1,7.3,7.3,1.18e+20,25.7642,34.9263,24.6271,34.6936,25.7642,34.9263,24.6271,34.6936,24.6149,34.7331,25.7524,34.9659,
159.0,243.0,333.0,78.0,10.0,93.5,16.5,0.0,16.1,1542.7,1.9,7.2,7.2,8.77e+19,27.2384,35.2888,26.3227,34.907,27.2384,35.2888,26.3227,34.907,26.3055,34.9345,27.2214,35.3163,
