  SN    Year MoDaHrMnSecs    Lat      Lon    Dep    MMf  sd2   n2  nMw  
294888. 2015 0113111909.73  36.3680  22.6960  60    4.7 0.075   9   2   
297047. 2015 0317101118.81  36.3540  26.6060 115    4.5 0.097   5   2   
297472. 2015 0327233455.04  35.7170  26.6090  73    5.2 0.098   5   7   
299585. 2015 0510213248.22  34.7910  25.3240  57    4.6 0.079   9   1   
301551. 2015 0624083714.76  36.6570  27.1270 142    4.5 0.105   4   1   
301942. 2015 0703031407.46  36.4673  28.3565  60    4.6 0.265   2   0   
302864. 2015 0724095837.73  36.6660  26.8410 142    5.1 0.097   5   2   
303405. 2015 0809213922.44  38.1530  21.9340  59    4.5 0.069  10   1   
310220. 2016 0119190443.02  36.6540  26.9510 143    4.5 0.097   5   2   
311594. 2016 0301235419.96  34.4591  25.4449  77    4.5 0.147   4   0   
318210. 2016 0909172421.41  36.9240  25.6030 174    4.6 0.177   3   0   
319002. 2016 0927205708.46  36.4010  27.6170  88    5.2 0.098   5   7   
322100. 2016 1220060344.13  36.6000  26.9250 127    5.3 0.098   5   6   
323332. 2017 0125185052.47  35.4120  26.4390  63    5.3 0.098   5   5   
327734. 2017 0330051227.79  34.8660  24.8810  56    4.5 0.073   9   1   
331538. 2017 0616234243.99  36.7820  23.0240  68    4.6 0.097   5   2   
334533. 2017 0722172546.21  36.5380  26.7860 140    4.7 0.097   5   4   
337225. 2017 0816155329.17  36.5410  24.7560 108    4.8 0.097   5   3   
337989. 2017 0901164834.46  36.0030  28.0080  89    5.0 0.097   5   3   
340303. 2017 1107024032.59  36.2820  28.4880  69    4.6 0.097   5   3   
344978. 2018 0502211607.26  35.7540  28.4070  60    4.5 0.097   5   1   
348877. 2018 0930131556.50  35.0180  26.2270  72    4.7 0.097   5   1   
356833. 2019 0122201206.57  36.7390  28.0920  75    4.7 0.177   3   0   
356908. 2019 0124143054.60  36.0170  28.1030  57    5.2 0.076   9   6   
366703. 2019 0731044003.66  35.3510  24.9580  77    4.9 0.097   5   3   
369482. 2019 1005145137.72  35.9220  28.0820  78    4.6 0.147   4   0   
371556. 2019 1127072341.86  35.7020  23.2640  70    6.1 0.098   5   5   
372555. 2019 1210215828.92  35.3940  26.5060  63    5.4 0.098   5   6   
379162. 2020 0424131604.15  35.8550  27.9340  65    4.7 0.074  10   2   
382559. 2020 0628174328.93  36.6550  28.2590  70    5.5 0.098   5   6   
382594. 2020 0629040624.52  36.6190  28.3120  76    4.6 0.097   5   1   
384256. 2020 0817072702.24  36.8840  23.7860  98    5.1 0.097   5   3   
385079. 2020 0918162818.48  34.9680  25.3080  52    5.9 0.075   8   5   
385490. 2020 1001110537.93  36.6940  26.8190 157    4.8 0.105   4   1   
397274. 2021 0401123339.81  36.1920  26.5510 112    4.5 0.177   3   0   
400331. 2021 0603150613.02  38.1400  21.9680  60    4.6 0.084   7   2   
406010. 2021 0907111500.67  36.1015  31.0175  56    4.6 0.139   5   0   
411307. 2021 1218051639.31  36.0650  23.1900  65    5.0 0.097   5   5   
411747. 2021 1229050809.70  34.8380  25.1910  69    5.7 0.098   5   5   
411769. 2021 1229164708.61  34.7870  25.1670  68    5.0 0.098   5   5   
416080. 2022 0427015153.41  35.9890  22.6233  61    4.9 0.097   5   4   
417764. 2022 0619232432.97  35.2379  27.1860  45    4.9 0.069  10   4   
421865. 2022 1102174123.63  35.9701  30.8502  56    4.9 0.078   8   5   
422341. 2022 1120232459.32  35.8219  26.4285  71    5.5 0.098   5   6   
426127. 2023 0331160517.30  37.2700  24.1100 129    4.8 0.100   1   3   
426128. 2023 0426200034.40  36.4300  26.3100 112    5.2 0.100   1   5   
426138. 2024 0612191910.90  35.9700  27.9500  61    4.9 0.100   1   4   
426147. 2024 0828162956.00  34.7800  24.2200  45    5.2 0.100   1   3   
