SN,Year,MoDaHrMnSecs,Lat,Lon,Dep,MMf,sd2,n2,nMw
000003.,1900,0614100000.00,42.1000,19.6000,0,4.8,0.180,1,0
000005.,1901,0115174500.00,42.3000,18.8000,0,4.8,0.180,1,0
000006.,1901,0223000000.00,37.9000,27.9000,0,5.0,0.180,1,0
000007.,1901,0300000000.00,38.2000,27.7000,0,5.0,0.180,1,0
000008.,1901,0400000000.00,37.8000,29.1000,0,5.0,0.180,1,0
000009.,1901,0400000000.00,37.8000,29.0000,0,5.0,0.180,1,0
000010.,1901,0426072900.00,42.5000,18.8000,0,4.6,0.180,1,0
000011.,1901,0504065500.00,38.2000,22.2000,0,5.0,0.180,1,0
000012.,1901,0524040200.00,35.5000,26.5000,0,5.8,0.180,1,0
000013.,1901,0710034500.00,38.4000,26.6500,0,5.2,0.180,1,0
000014.,1901,0711101900.00,37.5000,25.0000,33,4.9,0.180,1,0
000015.,1901,0912061500.00,39.0000,22.0000,24,5.6,0.198,2,0
000016.,1901,1006225100.00,38.3000,21.7000,0,5.0,0.180,1,0
000017.,1901,1007210400.00,42.4000,18.7000,0,4.3,0.180,1,0
000018.,1901,1013181200.00,38.5000,21.0000,0,5.1,0.180,1,0
000019.,1901,1025161830.00,37.0000,22.0000,0,5.4,0.135,3,0
000020.,1901,1105180000.00,38.5500,30.0000,0,5.2,0.180,1,0
000021.,1901,1106174900.00,38.5400,30.0000,0,5.5,0.180,1,0
000022.,1901,1111204000.00,37.5000,22.5000,0,5.1,0.180,1,0
000023.,1901,1123183000.00,37.8000,24.0000,0,5.0,0.180,1,0
000024.,1901,1218035100.00,39.4000,26.7000,0,5.8,0.180,1,0
000025.,1901,1224231800.00,37.2000,22.2000,15,5.7,0.135,3,0
000026.,1902,0110185000.00,38.4000,27.5000,0,5.0,0.180,1,0
000027.,1902,0115052400.00,38.3000,20.8000,0,4.8,0.180,1,0
000028.,1902,0126204500.00,42.3000,23.6000,4,4.8,0.180,1,0
000029.,1902,0129165800.00,42.6000,21.9000,0,4.6,0.180,1,0
000030.,1902,0130010000.00,42.5000,21.8000,0,4.6,0.180,1,0
000031.,1902,0209081700.00,37.0000,22.0000,0,4.8,0.180,1,0
000032.,1902,0324051000.00,37.0000,21.8000,0,4.8,0.180,1,0
000033.,1902,0411183530.00,38.5000,23.5000,0,5.3,0.135,3,0
000034.,1902,0411234800.00,38.3000,23.5000,0,5.0,0.180,1,0
000035.,1902,0419150000.00,37.8600,27.5900,0,5.0,0.180,1,0
000036.,1902,0424031500.00,42.5000,18.0000,15,4.9,0.180,1,0
000037.,1902,0500000000.00,37.8000,27.8000,0,4.6,0.180,1,0
000038.,1902,0501110900.00,38.5000,23.5000,0,5.0,0.180,1,0
000039.,1902,0515204500.00,38.5000,20.6000,0,4.8,0.180,1,0
000040.,1902,0526110600.00,39.0000,20.5000,0,5.4,0.180,1,0
000041.,1902,0620033000.00,37.7000,27.8000,0,5.1,0.180,1,0
000042.,1902,0626204500.00,42.3000,23.6000,0,4.8,0.180,1,0
000043.,1902,0705145630.00,40.8000,23.2000,0,6.4,0.105,4,0
000044.,1902,0714231700.00,40.7000,27.8000,0,5.5,0.180,1,0
000045.,1902,0715013500.00,40.7000,27.8000,0,5.5,0.180,1,0
000046.,1902,0715021000.00,40.7000,27.8000,0,5.7,0.180,1,0
000047.,1902,0724040600.00,38.3000,22.0000,0,5.1,0.180,1,0
000048.,1902,0729012000.00,36.7000,23.2000,100,5.7,0.180,1,0
000049.,1902,0802053800.00,38.1000,21.8000,0,5.5,0.135,3,0
000050.,1902,0903195000.00,38.3000,22.0000,0,5.1,0.180,1,0
000051.,1902,0905223900.00,38.3000,22.2000,12,5.0,0.180,1,0
000052.,1902,0905224500.00,38.2000,22.2000,0,5.0,0.180,1,0
000053.,1902,1002025000.00,42.4000,18.6000,0,4.6,0.180,1,0
000054.,1902,1101225000.00,38.0000,23.0000,0,4.8,0.180,1,0
000055.,1902,1105000700.00,38.2000,20.5000,9,4.9,0.180,1,0
000056.,1902,1105235000.00,38.2000,20.5000,0,5.4,0.135,3,0
000057.,1902,1123201400.00,38.3000,27.2000,0,5.7,0.180,1,0
000058.,1902,1124213000.00,42.6000,18.1000,0,4.6,0.180,1,0
000059.,1903,0112180000.00,41.4000,26.8000,0,4.8,0.180,1,0
000060.,1903,0113230000.00,38.4500,28.2000,0,5.1,0.180,1,0
000061.,1903,0306171000.00,39.2000,23.5000,0,5.0,0.180,1,0
000062.,1903,0315190330.00,37.8000,21.2000,0,5.3,0.135,3,0
000063.,1903,0317024300.00,36.8000,24.2000,130,5.7,0.180,1,0
000064.,1903,0325223000.00,36.0000,25.0000,100,5.7,0.209,2,0
000065.,1903,0404000000.00,38.9000,27.8000,0,5.0,0.180,1,0
000066.,1903,0411120000.00,38.5000,21.8000,0,4.6,0.180,1,0
000067.,1903,0422022800.00,39.2000,21.5000,0,4.6,0.180,1,0
000068.,1903,0428143800.00,38.0000,21.0000,0,5.0,0.180,1,0
000069.,1903,0526060900.00,40.6000,29.0000,0,5.8,0.180,1,0
000070.,1903,0529093430.00,39.8000,18.7000,30,5.9,0.135,3,0
000071.,1903,0719180754.00,34.2000,29.0000,0,5.7,0.180,2,0
000072.,1903,0721130300.00,38.2000,21.8000,0,5.3,0.135,3,0
000073.,1903,0727171000.00,42.2000,22.5000,4,4.4,0.180,1,0
000074.,1903,0802000000.00,36.5000,22.5000,20,5.9,0.180,1,0
000075.,1903,0811043254.00,36.3600,22.9700,80,7.0,0.160,1,0
000076.,1903,0919185130.00,37.8000,20.8000,20,5.4,0.135,3,0
000077.,1903,0924022500.00,38.5000,27.2000,0,5.0,0.180,1,0
000078.,1903,1118000000.00,41.7000,26.8000,0,5.0,0.180,1,0
000079.,1903,1125231500.00,42.1000,23.2000,9,5.5,0.180,2,0
000080.,1903,1127151300.00,42.1000,23.1000,12,5.0,0.180,1,0
000081.,1903,1130023400.00,42.1000,23.2000,8,5.3,0.180,1,0
000082.,1903,1201133400.00,42.1000,23.2000,10,5.0,0.180,1,0
000083.,1903,1205104600.00,42.1000,23.4000,0,5.0,0.180,1,0
000084.,1904,0101113800.00,37.8000,29.1000,0,5.0,0.180,1,0
000085.,1904,0223232500.00,37.5000,21.5000,0,4.6,0.180,1,0
000086.,1904,0331193000.00,37.7000,22.2000,0,5.1,0.180,1,0
000087.,1904,0404100234.00,41.8000,23.2000,15,6.8,0.105,4,0
000088.,1904,0404100500.00,41.8000,23.1000,0,4.8,0.180,1,0
000089.,1904,0404100600.00,41.8000,23.1000,0,5.3,0.180,1,0
000090.,1904,0404100700.00,41.8000,23.1000,0,4.8,0.180,1,0
000091.,1904,0404100900.00,41.8000,23.2000,0,5.1,0.180,1,0
000092.,1904,0404101100.00,41.8000,23.1000,0,4.8,0.180,1,0
000093.,1904,0404101300.00,41.8000,23.2000,10,5.5,0.180,1,0
000094.,1904,0404101900.00,41.8000,23.2000,0,5.3,0.180,1,0
000095.,1904,0404102534.15,42.4351,23.4138,15,7.2,0.160,1,0
000096.,1904,0404103000.00,42.1000,23.4000,25,5.3,0.135,3,0
000097.,1904,0404103900.00,41.8000,23.2000,30,5.0,0.180,1,0
000098.,1904,0404104900.00,41.8000,23.2000,0,5.1,0.180,1,0
000099.,1904,0404105400.00,41.8000,23.1000,0,5.0,0.180,1,0
000100.,1904,0404110400.00,41.8000,23.1000,20,5.1,0.180,1,0
000101.,1904,0404110930.00,41.8000,23.2000,0,5.3,0.135,3,0
000102.,1904,0404124700.00,41.8000,23.2000,0,5.1,0.180,1,0
