SS ID,Strike,Dip Direction,Dip,Rake,Length (km),Width (km),Min Depth (km),Max Depth (km),Rupture Area,Average slip (m),Mw (W&C94),Mw (K&A),M0 (Nm),LonA,LatA,LonB,LatB,Lon1,Lat1,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Slip rate
1001,252,342,85,200,212,23.5,0,23.4,4982,3.53,7.8,7.8,5.27263E+20,27.3659,40.7463,24.983,40.1571,27.3659,40.7463,24.983,40.1571,24.9754,40.1746,27.3586,40.7638,
1011,82,172,50,255,56,25,0,19.2,1400,1.51,7.1,7.1,6.342E+19,24.8995,41.1434,25.5621,41.2134,24.8995,41.1434,25.5621,41.2134,25.5884,41.0703,24.9265,41.0002,
1021,275,5,45,270,45,21.5,0,15.2,967.5,1.25,7,7,3.61448E+19,23.6364,40.6184,23.1052,40.6536,23.6364,40.6184,23.1052,40.6536,23.1206,40.7898,23.6524,40.7546,
1031,240,330,40,265,59,26,0,16.7,1534,1.59,7.2,7.2,7.31666E+19,22.1495,40.2695,21.5484,40.0042,22.1495,40.2695,21.5484,40.0042,21.4309,40.1593,22.0324,40.4246,
1052,235,325,85,193,121,18.5,0,18.4,2238.5,2.31,7.4,7.4,1.55037E+20,25.9968,39.6116,24.8449,38.9874,25.9968,39.6116,24.8449,38.9874,24.8341,38.9993,25.9861,39.6235,
1114,338,68,85,350,63,14,0,13.9,882,1.41,7,7,3.72878E+19,21.3135,38.424,21.0415,38.9494,21.3135,38.424,21.0415,38.9494,21.0546,38.9535,21.3265,38.4282,
1130,23,113,75,186,145.5,20,0,19.3,2910,2.65,7.5,7.5,2.31609E+20,19.987,37.7434,20.639,38.9478,19.987,37.7434,20.639,38.9478,20.6938,38.9297,20.0415,37.7252,
1154,255,345,75,0,165,21,0,20.3,3465,2.91,7.6,7.6,3.02514E+20,25.7564,34.9264,24.0122,34.5423,25.7564,34.9264,24.0122,34.5423,23.9966,34.5895,25.7412,34.9736,
1160,223,313,84,20,172,21.5,0,21.4,3698,2.66,7.6,7.6,3.34187E+20,28.6553,36.5079,27.3522,35.3767,28.6553,36.5079,27.3522,35.3767,27.334,35.3904,28.637,36.5217,
1163,244,334,75,10,250,25,0,24.1,6250,5.54,7.9,7.9,1.03875E+21,27.1967,34.9023,24.7472,33.9166,27.1967,34.9023,24.7472,33.9166,24.716,33.969,27.166,34.9546,
1165,237,327,75,10,328,28.5,0,27.5,9348,4.92,8,8,1.38102E+21,28.6327,35.2728,25.6318,33.6663,28.6327,35.2728,25.6318,33.6663,25.5877,33.7219,28.5892,35.3285,
