OBJECTID,Year,month,day,hour,min,sec,lat,long,depth,mag,magfm,strike1,dip1,rake1
1,1914,10,17,6,22,32,38.2,23.5,8,6,2,82,42,-99
2,1928,4,22,20,13,56,38.08,23.12,8,6.5,2,247,42,-99
3,1938,7,20,0,23,42,38.3,23.66,42,6.1,2,87,42,-99
4,1938,9,18,3,50,38,38,22.5,100,6.5,2,280,40,-90
5,1953,9,5,14,18,41,38,23,10,5.8,2,25,72,163
6,1962,10,4,19,46,10,38.1,22.6,10,5.2,2,33,55,142
7,1965,7,6,3,18,42,38.37,22.4,10,5.8,2,281,34,-71
8,1970,4,8,13,50,28,38.34,22.86,9,5.8,2,265,23,-81
9,1972,9,13,4,13,20,37.96,22.38,80,5.800000191,2,133,65,164
10,1975,1,8,19,32,34,38.24,22.65,26,5.7,2,329,18,139
11,1981,2,24,20,53,37,38.2,23,10,6.7,2,290,44,-60
12,1981,2,25,2,35,54,38.2,23.1,8,6.4,2,252,43,-104
13,1981,3,4,21,58,7,38.2,23.3,8,6.4,2,240,40,-90
14,1981,3,5,6,59,7,38.21,23.13,20,5.3,2,276,43,-59
15,1981,3,7,11,34,44,38.19,23.27,33,5.4,2,91,40,-84
16,1983,9,19,1,18,14,38.69,22.38,10,5.1,2,78,39,-78
20,1992,11,18,21,10,41,38.31,22.45,15,5.9,2,265,43,-99
21,1995,6,15,0,31,1,38.38,22.42,10,5.4,2,157,27,-43
22,1999,9,7,11,56,50,38.122,23.582,9,6,2,117,39,-80
27,2005,7,10,13,9,16,38.7,23.1,75,5.24,2,143,48,40
48,2008,10,14,2,6,34,38.8363,23.6094,5,5.2,2,253,20,-145
58,2008,12,13,8,27,19,38.7154,22.5578,8,5.1,2,230,19,-161
96,2013,8,7,9,6,51,38.68,22.67,8,5.4,2,218,18,-133
109,2013,9,16,15,1,14,38.7059,22.7166,7,5.2,2,263,43,-99
124,2014,11,17,23,5,56,38.66,23.41,10,5.2,2,120,71,12
125,2014,11,17,23,9,3,38.65,23.43,10,5,2,127,76,10
130,2015,6,9,1,9,3,38.622,23.389,14,5.2,2,321,76,8
